p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0.001976348031094435,0.3342823043678207,0.143,0.097,1,IEG-High Microglia,Dyrk2
0.001979775882174746,0.35648308417215935,0.152,0.104,1,IEG-High Microglia,Arsg
0.001983592282966626,0.3363464206005531,0.113,0.072,1,IEG-High Microglia,Map4k2
0.0020925080934302053,0.27492871967774246,0.21,0.151,1,IEG-High Microglia,2610035D17Rik
0.0021043944790389395,0.3326003241519151,0.143,0.097,1,IEG-High Microglia,Tifa
0.0021562692451603947,0.5237046554925207,0.152,0.105,1,IEG-High Microglia,Rcn2
0.0022046828654480504,0.2969203647867686,0.221,0.16,1,IEG-High Microglia,Nt5dc1
0.0022360274529130805,0.2615220339829891,0.214,0.156,1,IEG-High Microglia,Tango2
0.0022461366845679663,0.5209182297229481,0.1,0.063,1,IEG-High Microglia,Nudt4
0.0022729800306825467,0.3038168670988724,0.186,0.132,1,IEG-High Microglia,Phka1
0.0022896203517800582,0.3114258968473023,0.147,0.101,1,IEG-High Microglia,Ank
0.0024307599122315193,0.40471670204849763,0.126,0.083,1,IEG-High Microglia,Vasp
0.002847587244771601,0.27162415390551864,0.158,0.109,1,IEG-High Microglia,Tmc7
0.0028680266030487495,0.3080511081825388,0.11,0.071,1,IEG-High Microglia,Nop56
0.002920946295112126,0.25086239150481127,0.249,0.184,1,IEG-High Microglia,Ctcf
0.002973729530065605,0.5322915294015689,0.13,0.089,1,IEG-High Microglia,Ypel5
0.0029765836882962855,0.25890591405499375,0.123,0.081,1,IEG-High Microglia,Slc39a12
0.003003699445106437,0.3238705487998831,0.147,0.101,1,IEG-High Microglia,Trp53bp2
0.003156419547377272,0.41535992182162784,0.13,0.088,1,IEG-High Microglia,Amz1
0.0034293051025857594,0.35516105279792765,0.108,0.071,1,IEG-High Microglia,5430427O19Rik
0.003507799254004899,0.5104778761706346,0.132,0.091,1,IEG-High Microglia,Cebpd
0.0035687010897864995,0.3569928209443268,0.121,0.081,1,IEG-High Microglia,Ankrd27
0.004246619601618461,0.28080800029424285,0.219,0.164,1,IEG-High Microglia,Med14
0.0044685026574285205,0.37960004193973257,0.141,0.099,1,IEG-High Microglia,Agk
0.004528710464421903,0.286740709552596,0.225,0.169,1,IEG-High Microglia,Ranbp10
0.00454629421431943,0.265270537779557,0.143,0.1,1,IEG-High Microglia,Ptafr
0.0046040216752419975,0.2538271728049568,0.236,0.177,1,IEG-High Microglia,Msl1
0.004772649413149458,0.43182927420908435,0.104,0.068,1,IEG-High Microglia,Pcnx3
0.0052135626688418375,0.4215343261427611,0.106,0.071,1,IEG-High Microglia,Trib1
0.005356798404994555,0.2659599436923806,0.175,0.127,1,IEG-High Microglia,Slc17a5
0.005373616989964939,0.3554525099523661,0.177,0.13,1,IEG-High Microglia,Mapre1
0.005426153667865438,0.26339552227012586,0.128,0.088,1,IEG-High Microglia,Ncapd3
0.0054595315229410855,0.2701363359546389,0.167,0.121,1,IEG-High Microglia,Ptms
0.005715205546427328,0.31060661367748504,0.143,0.101,1,IEG-High Microglia,2810403D21Rik
0.0057232169880640765,0.25978844122799305,0.173,0.125,1,IEG-High Microglia,Ptges3
0.005844630480970344,0.306456127002547,0.143,0.101,1,IEG-High Microglia,Ap3d1
0.005927860923928548,0.34212195581039373,0.169,0.124,1,IEG-High Microglia,Rassf4
0.006479460308265635,0.4124236477273518,0.165,0.122,1,IEG-High Microglia,Tbc1d12
0.006682833465714675,0.45074443655575513,0.13,0.092,1,IEG-High Microglia,Tmem64
0.006732649380396477,0.3904313812946831,0.143,0.103,1,IEG-High Microglia,Bcl10
0.007914888839333521,0.25673642263497476,0.245,0.19,1,IEG-High Microglia,Orc3
0.00847923821766457,0.3275733560113502,0.104,0.07,1,IEG-High Microglia,Spata1
0.00852288741503191,0.33662089098884973,0.11,0.075,1,IEG-High Microglia,Chst8
0.008532259728867111,0.38145585715122066,0.11,0.075,1,IEG-High Microglia,Ubap2
0.008823251789907846,0.2556558677133137,0.195,0.147,1,IEG-High Microglia,Stt3b
0.008971529796979003,0.2558289447736117,0.171,0.127,1,IEG-High Microglia,Ddx31
0.009050265788197927,0.32557284946043086,0.11,0.075,1,IEG-High Microglia,Cyp27a1
