"Pathway","IFN_Responsive_Microglia_UP","Infiltrating_Macrophages_UP","Transiently_Activated_Microglia_UP","Homeostatic_Microglia_UP","Homeostatic_Microglia_DOWN","Transiently_Activated_Microglia_DOWN","Infiltrating_Macrophages_DOWN","Cluster"
"Viral life cycle - HIV-1 - Mus musculus (house mouse) [KEGG]",2.75466374714026,1.69830318314892,0,0,0,0,0,5
"negative regulation of lymphocyte activation [GO_BP]",2.74264937329589,1.7237867144259,0,0,0,0,0,5
"postsynaptic signal transduction [GO_BP]",2.55459879755457,1.66889846262415,0,0,0,0,0,5
"Fc receptor mediated stimulatory signaling pathway [GO_BP]",2.54277063417518,1.51340886755958,0,0,0,0,0,5
"cellular response to dsRNA [GO_BP]",2.54277063417518,1.51340886755958,0,0,0,0,0,5
"positive regulation of canonical NF-kappaB signal transduction [GO_BP]",2.87438109491849,1.3743348164315,0,0,0,0,0,5
"negative regulation of inflammasome-mediated signaling pathway [GO_BP]",2.73007886637075,1.60278580759947,0,0,0,0,0,5
"negative regulation of leukocyte activation [GO_BP]",2.73366974642127,1.47238793800922,0,0,0,0,0,5
"dendritic cell antigen processing and presentation [GO_BP]",3.39151157419201,1.90391855372944,0,0,0,0,0,5
"CAMKK-AMPK signaling cascade [GO_BP]",3.39151157419201,1.90391855372944,0,0,0,0,0,5
"T cell differentiation [GO_BP]",3.59782594688023,1.7072750860179,0,0,0,0,0,5
"maintenance of location [GO_BP]",3.5805008280596,1.70062401207123,0,0,0,0,0,5
"Toxoplasmosis - Mus musculus (house mouse) [KEGG]",3.42686757693067,1.57893116928396,0,0,0,0,0,5
"regulation of protein-containing complex assembly [GO_BP]",3.36279294227223,1.74240028565101,0,0,0,0,0,5
"regulation of protein complex stability [GO_BP]",3.08745498996615,1.76895189210162,0,0,0,0,0,5
"calmodulin dependent kinase signaling pathway [GO_BP]",3.08745498996615,1.76895189210162,0,0,0,0,0,5
"defense response to Gram-negative bacterium [GO_BP]",3.17356848052958,1.5829469870079,0,0,0,0,0,5
"positive regulation of leukocyte differentiation [GO_BP]",3.25771586070307,1.46722095918032,0,0,0,0,0,5
"positive regulation of hemopoiesis [GO_BP]",3.25771586070307,1.46722095918032,0,0,0,0,0,5
"positive regulation of autophagy of mitochondrion [GO_BP]",3.90151882970071,1.60278580759947,0,0,0,0,0,5
"xenophagy [GO_BP]",3.77128382125874,1.55444827066729,0,0,0,0,0,5
"negative regulation of cytokine production [GO_BP]",3.84321618885527,1.45762738416089,0,0,0,0,0,5
"maintenance of location in cell [GO_BP]",3.95405322781836,1.90733829153713,0,0,0,0,0,5
"positive regulation of DNA-binding transcription factor activity [GO_BP]",3.90194112208138,2.29029377095681,0,0,0,0,0,5
"positive regulation of pattern recognition receptor signaling pathway [GO_BP]",4.17979093334104,2.24212211737727,0,0,0,0,0,5
"regulation of granulocyte chemotaxis [GO_BP]",1.63767818104548,0,2.45156237491741,1.62487633861932,0,0,0,7
"protein folding [GO_BP]",1.31087135749147,0,2.39642569720301,1.73323718094968,0,0,0,7
"regulation of leukocyte migration [GO_BP]",2.2325531551051,0,2.17194910313145,1.49500617609183,0,0,0,7
"leukocyte migration [GO_BP]",2.00389016918559,0,1.71501314638666,1.71820679482216,0,0,0,7
"regulation of erythrocyte differentiation [GO_BP]",1.89575214110988,0,1.71496534929992,1.71820679482216,0,0,0,7
"lipopolysaccharide-mediated signaling pathway [GO_BP]",2.95006333703062,1.49053329456257,1.58869964153092,1.60410060697066,1.45697927085006,0,0,7
"regulation of myeloid cell differentiation [GO_BP]",3.07007589383411,0,2.22910316954744,1.57779695393706,1.50626299363184,0,0,7
"acute inflammatory response [GO_BP]",3.49425399416601,0,1.35266302232283,2.22868976818152,0,0,0,7
