names,scores,logfoldchanges,pvals,pvals_adj
Ywhah,1.8238058,1.3805339,0.06818143955411027,1.0
Camk1,1.8178886,1.1283928,0.0690811605560006,1.0
Ktn1,1.8152587,0.68022066,0.06948415552452746,1.0
Herpud1,1.8146013,0.9793652,0.0695852053355766,1.0
Xpo7,1.8146013,0.7259542,0.0695852053355766,1.0
Tut4,1.8053968,0.49305955,0.07101261424264492,1.0
Trpm7,1.7942199,0.5132071,0.07277807852806295,1.0
Mat2a,1.7909325,0.5809588,0.07330411636800722,1.0
Ptprk,1.7909325,0.9821039,0.07330411636800722,1.0
Ylpm1,1.7790983,0.7403347,0.07522366154987786,1.0
Yes1,1.7764684,1.9224656,0.07565575301484245,1.0
Egfr,1.7738385,1.0412232,0.076089867871262,1.0
Errfi1,1.7725235,1.1006511,0.07630768608951594,1.0
Clec4a1,1.7698938,1.4179826,0.07674484814374812,1.0
Pag1,1.7626616,0.43783084,0.07795757962306787,1.0
Srgap2,1.7626616,0.32846,0.07795757962306787,1.0
Adam10,1.7613467,0.5615686,0.07817974388841666,1.0
mt-Nd4l,1.7554295,0.6410148,0.07918586959752391,1.0
Adcy9,1.7547721,0.71650285,0.07929830846723634,1.0
Zfp652,1.7534571,0.58320576,0.07952357569445968,1.0
Comt,1.7521422,0.6796522,0.07974936291287944,1.0
Rnf38,1.7468824,0.7722101,0.08065772787977042,1.0
Nfic,1.7435951,1.3211278,0.0812297104963491,1.0
Stard8,1.7429377,0.7707077,0.08134450116011906,1.0
Tmem273,1.7304459,1.543731,0.08355064619979304,1.0
Top1,1.7186115,0.5842691,0.08568513551416505,1.0
Csmd3,1.7146667,0.78711206,0.08640634873508352,1.0
Hivep3,1.7100644,0.57463485,0.08725395218919554,1.0
Cd300c2,1.7034898,0.8236359,0.0884764402231686,1.0
Arhgap12,1.7015175,0.48130783,0.08884586690727418,1.0
Srpk2,1.70086,0.82808393,0.0889692849785155,1.0
Fcho2,1.6975727,0.45880777,0.08958844870562288,1.0
Rock2,1.6969151,0.41156644,0.08971269683239816,1.0
Tgfbr2,1.6962577,0.43865776,0.08983708365531742,1.0
Nisch,1.6844233,0.5190896,0.09209987860706023,1.0
Snx3,1.6804786,1.0681394,0.09286423872114126,1.0
Mxi1,1.6798211,1.290847,0.09299212575040713,1.0
Renbp,1.6778487,1.315909,0.09337663515706696,1.0
Deptor,1.6752188,1.4576752,0.09389129753759679,1.0
Pip4k2a,1.6719315,0.2587548,0.09453782181668,1.0
Zfp512,1.6706166,1.1796514,0.0947974285174614,1.0
St6gal1,1.6653569,0.78589594,0.09584157252176578,1.0
Scaf4,1.6653569,0.780039,0.09584157252176578,1.0
2510009E07Rik,1.6607547,1.418248,0.09676273225930647,1.0
Zfand6,1.6568098,0.6276459,0.09755792165869173,1.0
Bcor,1.6561524,0.98420954,0.09769095957444196,1.0
Svil,1.6548375,0.76336455,0.09795747032226383,1.0
Mon2,1.6515502,0.47726208,0.09862628888189842,1.0
Slc12a2,1.6495777,1.030928,0.0990293268989352,1.0
Cyfip1,1.6462904,0.36651707,0.09970397707465371,1.0
Dock4,1.6443181,0.24450232,0.1001105236714119,1.0
Mef2a,1.6423457,0.28439885,0.10051839093676057,1.0
Tnfaip8,1.6410307,0.65199643,0.10079103748432701,1.0
Cox16,1.635771,0.6086673,0.10188752128316164,1.0
Tpp1,1.6291964,0.8232866,0.1032714555004643,1.0
Afap1l1,1.6265665,1.1398244,0.10382919658925487,1.0
Bcl9,1.6206493,1.0222695,0.10509286553713192,1.0
Zfp710,1.6186769,0.48279262,0.10551679082160392,1.0
Itgb5,1.6055276,0.4782907,0.10837773188483196,1.0
Gm34589,1.6042128,1.9352497,0.10866717018204138,1.0
Gm4258,1.6042128,0.889459,0.10866717018204138,1.0
Grk4,1.6002679,1.8831762,0.10953915538161069,1.0
Pan3,1.6002679,0.28994372,0.10953915538161069,1.0
Ssbp2,1.6002679,0.77152026,0.10953915538161069,1.0
Apba1,1.5956657,0.596011,0.11056345212915714,1.0
Mindy2,1.580544,0.7515526,0.11398233528776566,1.0
Pkd2,1.580544,1.0355995,0.11398233528776566,1.0
Odr4,1.5792291,0.96706533,0.1142835205432524,1.0
Mylip,1.5779141,0.6005193,0.1145853318817312,1.0
Pten,1.5772567,0.33317405,0.11473647257540513,1.0
Tgfbrap1,1.5772567,1.1965986,0.11473647257540513,1.0
4632427E13Rik,1.5765992,0.6175396,0.11488777008173291,1.0
Slx4ip,1.5713395,0.7738421,0.11610380704811789,1.0
Msra,1.570682,1.1822299,0.11625652023945596,1.0
Zswim6,1.5700246,0.33572546,0.11640939121415762,1.0
Dido1,1.5660799,0.70243615,0.11732993593536539,1.0
