"ROI","CellState","Score","antigen"
"DSP-1001660019915-A-A09.dcc","Infiltrating Macrophages",0.136086396025651,"negative"
"DSP-1001660019915-A-A10.dcc","Infiltrating Macrophages",0.732320990453302,"negative"
"DSP-1001660019915-A-A11.dcc","Infiltrating Macrophages",-0.773795329680038,"negative"
"DSP-1001660019915-A-A12.dcc","Infiltrating Macrophages",-0.410012536611782,"negative"
"DSP-1001660019915-A-B01.dcc","Infiltrating Macrophages",0.72549377948791,"negative"
"DSP-1001660019915-A-B02.dcc","Infiltrating Macrophages",-0.0379493941545898,"positive"
"DSP-1001660019915-A-B03.dcc","Infiltrating Macrophages",0.0396421177975479,"positive"
"DSP-1001660019915-A-B04.dcc","Infiltrating Macrophages",-0.443411767115681,"negative"
"DSP-1001660019915-A-B05.dcc","Infiltrating Macrophages",-0.131725308173635,"negative"
"DSP-1001660019915-A-B06.dcc","Infiltrating Macrophages",0.408296806867755,"positive"
"DSP-1001660019915-A-B07.dcc","Infiltrating Macrophages",0.559115433174683,"positive"
"DSP-1001660019915-A-B08.dcc","Infiltrating Macrophages",-0.21322807395953,"negative"
"DSP-1001660019915-A-B09.dcc","Infiltrating Macrophages",-0.119600565565082,"negative"
"DSP-1001660019915-A-B10.dcc","Infiltrating Macrophages",-0.0558943069993018,"negative"
"DSP-1001660019915-A-B11.dcc","Infiltrating Macrophages",-0.313250064693927,"negative"
"DSP-1001660019915-A-B12.dcc","Infiltrating Macrophages",0.449276886508301,"negative"
"DSP-1001660019915-A-C01.dcc","Infiltrating Macrophages",-0.114425853053645,"negative"
"DSP-1001660019915-A-C02.dcc","Infiltrating Macrophages",0.309852554636286,"negative"
"DSP-1001660019915-A-C03.dcc","Infiltrating Macrophages",-0.174278236607275,"negative"
"DSP-1001660019915-A-C04.dcc","Infiltrating Macrophages",0.0658739952605841,"negative"
"DSP-1001660019915-A-C05.dcc","Infiltrating Macrophages",-0.255985754169987,"negative"
"DSP-1001660019915-A-C07.dcc","Infiltrating Macrophages",0.353785052419775,"negative"
"DSP-1001660019915-A-C08.dcc","Infiltrating Macrophages",0.261184628242021,"negative"
"DSP-1001660019915-A-C09.dcc","Infiltrating Macrophages",0.37626265696269,"negative"
"DSP-1001660019915-A-C10.dcc","Infiltrating Macrophages",-0.207064776428003,"negative"
"DSP-1001660019915-A-C11.dcc","Infiltrating Macrophages",-0.278454264375264,"negative"
"DSP-1001660019915-A-C12.dcc","Infiltrating Macrophages",-0.400900586090092,"negative"
"DSP-1001660019915-A-D02.dcc","Infiltrating Macrophages",0.0783692497912074,"negative"
"DSP-1001660019915-A-D03.dcc","Infiltrating Macrophages",-0.220163893012892,"negative"
"DSP-1001660019915-A-D04.dcc","Infiltrating Macrophages",-0.404859346339421,"negative"
"DSP-1001660019915-A-D05.dcc","Infiltrating Macrophages",-0.411033078351645,"negative"
"DSP-1001660019915-A-D06.dcc","Infiltrating Macrophages",0.00789426238657747,"negative"
"DSP-1001660019915-A-D07.dcc","Infiltrating Macrophages",-0.324543957769904,"negative"
"DSP-1001660019915-A-D08.dcc","Infiltrating Macrophages",-0.106621415109595,"negative"
"DSP-1001660019915-A-D11.dcc","Infiltrating Macrophages",0.166035113008471,"negative"
"DSP-1001660019915-A-D12.dcc","Infiltrating Macrophages",0.376934015472009,"negative"
