"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
4.10281361130565e-107,2.0806409340642,0.276,0.059,7.38465421898904e-103,"IFN-Responsive Microglia","Igtp"
8.96715150386836e-128,2.02224714260962,0.257,0.042,1.61399759918127e-123,"IFN-Responsive Microglia","Ifi207"
7.13221624951219e-190,2.0024285287675,0.641,0.202,1.2837276027497e-185,"IFN-Responsive Microglia","Parp14"
1.2537945871088e-109,1.99004089405796,0.329,0.081,2.25670487733713e-105,"IFN-Responsive Microglia","Irgm1"
2.80152592556326e-53,1.95958921590144,0.133,0.027,5.04246651342132e-49,"IFN-Responsive Microglia","Csf1"
3.7454524089009e-52,1.90514708389162,0.144,0.032,6.74143979078073e-48,"IFN-Responsive Microglia","Sdc3"
4.68212134572488e-53,1.8721286092053,0.18,0.048,8.42735021017021e-49,"IFN-Responsive Microglia","Nod1"
7.42859787260619e-73,1.75650342677921,0.22,0.053,1.33707333109039e-68,"IFN-Responsive Microglia","Gvin1"
2.26058948001363e-56,1.73556836403695,0.177,0.044,4.06883500507653e-52,"IFN-Responsive Microglia","Gbp3"
1.33213114727346e-121,1.71809839711647,0.501,0.168,2.3977028519775e-117,"IFN-Responsive Microglia","Eif2ak2"
3.83323974828315e-93,1.67349721896993,0.356,0.107,6.89944822293484e-89,"IFN-Responsive Microglia","Irf1"
6.28043376124925e-162,1.6548338546673,0.733,0.314,1.13041527268725e-157,"IFN-Responsive Microglia","Trim30a"
